ref_id,source_file,text
21,b001,當時軍人動輒訴以暴力，這也可能是引起1947年2月28日的二二八事件之導火線，參見賴進祥：《傳染病與二二八》（2005），頁3以下：「慘案發生的前幾天，臺灣東部臨海道路則發生⋯⋯國軍36名，將民營的汽車扣留，擬把已經買票坐在車上的旅客趕下，好讓他們來坐，可是臺灣向來沒有這麼蠻不講理的軍隊，因此司機當場拒絕。這麼一來，國軍就動用武力，將司機毒打一頓，乘客們目睹慘狀，乃相率自動退下，讓軍人坐上。司機悲憤填胸，直將汽車從千尺高的斷崖上開入海裡，同歸於盡。此一消息立刻傳遍全臺，人心沸騰，民眾到處準備開追悼會，這則是二二八慘劇官逼民反的前奏曲。」
21,ch02,臺灣省參議會秘書室，《臺灣省參議會第一屆第一次大會特輯》，頁48。
21,ch03,〈國民黨中執會秘書處為抄送「臺灣現狀報告書」致行政院函及各部復核情形〉，收入陳興唐主編，《臺灣「二．二八」事件檔案史料（上）》（臺北：人間出版社，1992年），頁49-60。
21,ch04,葛敬恩，〈接收臺灣紀略〉，收入李敖編著《二二八研究三集》，頁168。
21,ch05,謝南光，〈制定臺灣省憲〉，《臺灣民聲報》創刊號（中國重慶，1945年4月16日）。
22,b001,依犯罪學的研究認為，連續殺人犯對於被害人的「人格」，往往有將之予以「物化」、「次位化」、「非人化」的特殊想像，如此一來，則在行為人的想法上並無任何愧疚。這也是為什麼會驚訝在幾年前，在臺灣曾有位行政院長說：那有政權不殺人，滿清入關還不是殺人如麻。亦即這位院長的「基本心態」，即認為為了維繫政權所為的殺人行為，即得予以正當化。
22,ch02,張琴，〈臺灣真相〉，鄧孔昭主編，《二二八事件資料集》（臺北：稻鄉出版社，1991年2月），頁45-46。
22,ch03,〈美國記者報導臺灣接收之後行政腐敗混亂情形〉、〈陳儀為美國記者報導政腐敗情形致行政院秘書處電〉，陳興唐主編，《臺灣「二．二八」事件檔案史料（上）》，頁65-68。
22,ch04,沈雲龍，〈陳儀其人與二二八事變〉，《傳記文學》54：2（1989年2月），頁58。
22,ch05,謝掙強，〈實施憲政與臺灣〉載《臺灣民聲報》創刊號。
23,b001,對於二二八事件者的法律責任，臺灣的司法當局到目前為止（2005年）並未予以重視，不論是法務部或是司法院，對此問題的冷漠如以往，而從未將之列為研討的議題。
23,ch02,行政院研究「二二八事件」小組，《「二二八事件」研究報告》，頁21。
23,ch03,〈旅滬福建臺灣各團體為駁斥陳儀關於臺灣現況談話致各報書〉，陳興唐主編，《臺灣「二．二八事件檔案史料（上）》，頁62。
23,ch04,嚴演存，《早年之臺灣》（臺北：時報文化出版公司，1991年6月），頁14-16。
23,ch05,孝紹，〈試假定我是臺灣人來提出三項管見〉，《臺灣民聲報》第5期（中國重慶，1945年6月16日）。
24,b001,財團法人二二八事件紀念基金會的董事李榮昌、翁修恭曾於2004年12月26日提案：案由：建議政府依法追究二二八事件加害者的責任，並規定自首的期限，使二二八事件的真相能早日釐清。說明：一、二二八事件發生迄今即將屆滿六十甲子，但是當年進行迫害及屠殺的元凶尚未負起應負的責任，以致二二八事件的真相尚未完全釐清，使得二二八事件的受害者及家屬無法釋懷。二、本會「真相研究小組」對於二二八事件歸屬的研究報告即將進行期末審查會議，並於今年二月二十八日以前公開發表研究成果，對於責任歸屬的部分將會進一步的釐清。三、建議政府根據本會的研究成果依法追究二二八事件加害者的責任，並鼓勵加害者在一定期間內向政府辦理自首，否則即應依法定程序加以追懲。
24,ch02,見○先生（匿名）口述，臺灣省文獻委員會編印，《二二八事件文獻輯錄》（南投：臺灣省文獻委員會，1991年11月），頁11。
24,ch03,〈張琴著「臺灣真相」〉，陳興唐主編，《臺灣「二．二八事件檔案史料（上）》，頁135-143。此篇文章原發表於《文萃》，係中共之地下刊物，胡允恭自稱以筆名張琴所撰。詳見胡允恭，〈陳儀在浙江準備反蔣紀實〉，全國政協等文史資料研究委員會編輯組編，《陳儀生平及被害內幕》（中國北京：中國文史出版社，1987年），頁163-168。
24,ch04,沈雲龍，〈陳儀其人與二二八事變〉，頁58。
24,ch05,連震東，〈臺灣人的政治理想和對做官的觀念〉，《臺灣民聲報》第9、10期合刊（中國重慶，1945年10月7日）。
25,b001,國民政府在接收臺灣時，就把日產當成是一塊「肥肉」，國民政府各派系垂涎欲滴，想分一杯羹，並安插親信居要職，而貪瀆事件頻傳，如臺北縣長貪污公款案。參考本書第2章（即頁21及註13）。
25,ch02,參考《民報》，1945年10月至1947年2月；黃淑英，〈民報與戰後初期的臺灣〉（臺北：國立臺灣師範大學歷史學系碩士論文，2003年8月），頁72-75。
25,ch03,參見資料室，〈有膽有識的劉文島先生〉，《湖北文獻》第24期（1972年7月），頁39-44；第25期（1972年10月），頁52-57。
25,ch04,周一鶚，〈陳儀在臺灣〉，收入李敖編著《二二八研究三集》，頁157-158。
25,ch05,謝南光，〈應該怎樣準備收復臺灣〉，轉引自鄭梓，《戰後臺灣的接收與重建》（臺北：新化圖書公司，1994年），頁63。
26,b001,這時效問題之錯誤認知就是，到目前為止，58年已經過去了，表面上看起來，臺灣的法律人可能會認為，已經是時間太久而不用理會了，但其實實際的情形卻不是如此。因為最主要的問題是，這個「二二八大屠殺」的案件，不是「一般的殺人案件」。其乃是以政府為元凶，並且形成集團化般的那一種殺人案件。而面對這個大屠殺的案件，在以往過去威權時代，原政府執政的時候，司法是不可能，也沒有辦法處理這件事的；因為，在那時，沒有任何一個檢察官有可能膽敢將此事件追訴。但是在2000年以後，倘若我們自1987年起算，而到現今來講，起碼在2000年以後，開始到目前為止，已經可以開始做；但是，實際上到現今為止，卻沒有任何的法律程序在進行。這是什麼原因呢？因為，有些人說，刑法條文上有規定，殺人罪的追訴權，是有所謂的「時效問題」的，也就是有「追訴權時效」的問題。但其實，這規定不是針對「政府犯罪」，即實際內容上應非如此部分人的說法。即所謂的「追訴權時效」的真正定義，事實上是指「其實有權力可以追訴某件事情，但自己放棄而不予追訴」，也就是所謂的「可以追訴，而不追訴」之情形。但是對於如二二八事件，是屬於「政府所犯的犯罪」，在當時是無法行使追訴的權力而不能追訴。既然在當時是不能追訴，則形成的「其實根本就沒有任何權力可以追訴這件事情」，與「自己放棄而不予追訴」是不一樣的，也就是，「不可以追訴，而不追訴」，則其性質，根本就沒有追訴權時效開始適用的問題，也就是這個罹於追訴權時效的情況，在現實世界裡根本是不存在的。因為，既然連時效起點都沒有開始，又何來出現時效終點？所以，我們就必須首先來討論這個與一般犯罪追訴時效問題不相同的「政府犯罪的追訴時效問題」。就此可以看到，其實，法律實務界其所應注重的重點，並不是在於法律的望文說字，而應是在於「判斷是非」的理念問題。但是，臺灣部分法律實務界人士與學歷史的人所注重的重點竟是不同的。有些臺灣實務界所討論的是利害、現實、利益，而不是在討論「是非」，也不是在討論「正義」，而更不是在討論「人權」，仍是在討論「權力的位置」。而這就是因權力位置所造成對於人民的辜負，是謂權力位置引發對人民的辜負。
26,ch02,五子登科即金子、房子、車子、女子、位子，用來諷刺當時許多來臺接收官員的醜態。邵毓麟，《勝利前後》（臺北：傳記文學出版社，1984年），頁76。
26,ch03,清查團的全名應是「閩臺區接收處理敵偽物資工作清查團」，清查團的報告詳見〈檢舉臺灣專賣局長任維鈞等案〉，中研院近史所檔案館藏，檔號：228G：1-4。
26,ch04,周一鶚，〈陳儀在臺灣〉，收入李敖編著《二二八研究三集》，頁158。
26,ch05,鄭梓，《戰後臺灣的接收與重建》，頁71。
27,b001,"對於「消除種族歧視委員會」（The Committee on the Elimination of Racial Discrimination, 簡稱CERD）長年以來，即將刑法對抗種族主義列為其討論議題。CERD是一個重要的國際組織，其非但對抗種族歧視，並且對於少數民族問題為國際監督。Vgl.Bryde:〈Die Tätigkeit des Ausschusses gegen jeden Form der Rassendiskriminierung（CERD）〉,in: Klein（Hrsg.）:《Rassische Diskriminierung Erscheinungsformen und Bekämpfungsmöglichkeiten》, （2002）, S.78f."
27,ch02,唐賢龍，〈臺灣事變內幕記〉，鄧孔昭主編，《二二八事件資料集》，頁20。
27,ch03,〈張琴著「臺灣真相」〉，頁142。
27,ch04,周一鶚，〈陳儀在臺灣〉，收入李敖編著《二二八研究三集》，頁159-160。
27,ch05,汪公紀，〈處理東方各小民族之原則〉，轉引自鄭梓，《戰後臺灣的接收與重建》，頁63。
28,b001,對於國府軍隊於228事件中的屠殺情形，請參考薛化元、陳翠蓮、吳鯤魯、李福鐘、楊秀菁:《戰後臺灣人權史》，（2003），頁61以下。
28,ch02,李筱峰，《解讀二二八》，頁49-50。
28,ch03,中研院近史所檔案館藏，〈六屆三中全會主席團會議紀錄〉，1947年3月，檔號：228-G：1-4。
28,ch04,周一鶚，〈陳儀在臺灣〉，收入李敖編著《二二八研究三集》，頁160。
28,ch05,陳翠蓮前引書，頁235-236。
29,b001,中國來臺官員的貪瀆情形，例如葛敬恩侵吞黃金60公斤之「臺灣黃金案」，又如任維鈞貪污案，臺北縣長陸桂祥貪污臺幣數億元、花蓮港私運糧食案、基隆港私運食糖案。陳儀手下四大官員（即葛敬恩、包可永、嚴家淦、周一鶚）都是「要錢的好手」，被臺灣人稱之「四凶」。參閱本書第4章（頁184、185及註33-36）。
29,ch02,楊亮功、何漢文，〈調查「二二八」事件報告〉，中央研究院近代史研究所主編，《二二八事件資料選輯（二）》，頁304。
29,ch03,中研院近史所檔案館藏，〈國防最高委員會常務會議223∼226及230次會議紀錄〉，1947年3月∼4月，檔號：228G：1-1。
29,ch04,杜聰明，〈杜聰明回憶錄〉，收入張炎憲、李筱峰編《二二八事件回憶集》（臺北：稻鄉出版社，1989年），頁158。
29,ch05,江慕雲，《為臺灣說話》（中國上海：三五記者聯誼會印行，1948年），頁178。
30,b001,"對於「種族平等原則」（Das Prinzip der Rassengleichheit）係對於「人權」理念的基本。Vgl.Paul,Gregor:〈Universalität der Menschenrechte und klassische chinesische Philosophie〉,in:Fornet-Betancourt（Hrsg.）:《Menschenrechte im Streit zwischen Kulturpluralismus und Universalität》, （2000）,S.104."
30,ch02,唐賢龍，〈臺灣事變內幕記〉，鄧孔昭主編，《二二八事件資料集》，頁32。
30,ch03,國民黨中執會秘書處的公函以至國民政府文官處的呈核文件，俱見侯坤宏編，《國史館藏二二八檔案史料（上）》（臺北：國史館，1997年），頁74-88。
30,ch04,陳新，〈臺灣人失望了〉，《新聞天地》12（1946年4月），頁23。
